KD_KPP,NAMA_KANTOR,NAMA_KANWIL,WP_BENDAHARA,WP_BADAN,WP_OP_KARYAWAN,WP_OP_PENGUSAHA,JUMLAH_FPP,JUMLAH_AR,REALISASI_ANGGARAN,KEPATUHAN_SPT,CAPAIAN_PENERIMAAN,PERTUMBUHAN_PENERIMAAN,SP2DK_TERBIT,SP2DK_CAIR,PEMERIKSAAN_SELESAI
29,KPP Pratama Jakarta Gambir Tiga,KANTOR WILAYAH DJP JAKARTA PUSAT,18,3325,7253,1929,14,24,13918039897,100.66999999999999,112.03,134.1,424,787,311
31,KPP Pratama Jakarta Palmerah,KANTOR WILAYAH DJP JAKARTA BARAT,24,5254,37005,9554,13,28,7929923011,100.56,147.14,83.74,2023,1259,353
32,KPP Pratama Jakarta Tamansari,KANTOR WILAYAH DJP JAKARTA BARAT,24,5931,16281,8311,21,30,9385321968,128.87,115.22,127.02,1653,2446,370
33,KPP Pratama Jakarta Tambora,KANTOR WILAYAH DJP JAKARTA BARAT,23,2922,30107,17576,14,28,8770154326,102.41,120.01,124.83,760,1677,293
34,KPP Pratama Jakarta Cengkareng,KANTOR WILAYAH DJP JAKARTA BARAT,28,10060,61263,18681,21,35,10086866659,102.10999999999999,124.68,80.07,2309,5107,461
35,KPP Pratama Jakarta Kebon Jeruk Satu,KANTOR WILAYAH DJP JAKARTA BARAT,15,3829,20968,5511,14,32,9510064675,109.43,122.68,28.19,1646,2036,296
36,KPP Pratama Jakarta Grogol Petamburan,KANTOR WILAYAH DJP JAKARTA BARAT,37,9699,43013,18422,21,36,10987785235,105.98,124.11,158.22,2663,2931,568
38,KPP Madya Jakarta Barat,KANTOR WILAYAH DJP JAKARTA BARAT,1,2349,119,44,30,40,9566964541,99.28,114.75,18.56,983,744,291
39,KPP Pratama Jakarta Kebon Jeruk Dua,KANTOR WILAYAH DJP JAKARTA BARAT,9,4067,20422,6566,14,27,9002232501,126.67999999999999,119.06,118.31,1552,1156,333
41,KPP Pratama Jakarta Penjaringan,KANTOR WILAYAH DJP JAKARTA UTARA,12,4971,23286,12527,14,26,8687195137,100.63,114.84,48.06,585,614,268
42,KPP Pratama Jakarta Tanjung Priok,KANTOR WILAYAH DJP JAKARTA UTARA,77,8007,58493,14855,21,35,8884267729,100.27,123.7,98.54,1835,1230,356
43,KPP Pratama Jakarta Kelapa Gading,KANTOR WILAYAH DJP JAKARTA UTARA,18,9842,31832,7512,21,33,10995693986,102.76,121.15,88.6,961,1080,516
44,KPP Pratama Jakarta Pademangan,KANTOR WILAYAH DJP JAKARTA UTARA,54,5878,24696,10151,14,34,9643750775,100.53,123.1,88.74,698,1078,347
45,KPP Pratama Jakarta Koja,KANTOR WILAYAH DJP JAKARTA UTARA,89,4797,43129,9216,21,32,9270937983,101.30999999999999,119.92,31.27,1063,974,367
46,KPP Madya Jakarta Utara,KANTOR WILAYAH DJP JAKARTA UTARA,1,1201,85,42,30,35,8558278085,99.91,122.5,35.95,724,532,218
47,KPP Pratama Jakarta Pluit,KANTOR WILAYAH DJP JAKARTA UTARA,8,9245,19959,10219,28,36,11003531099,103.49,118.44,111.96,2428,1201,473
51,KPP Wajib Pajak Besar Tiga,KANTOR WILAYAH DJP WAJIB PAJAK BESAR,1,295,0,0,30,35,10119252041,100.0,115.19,77.03,173,94,360
52,KPP Penanaman Modal Asing Satu,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,642,0,0,49,33,10915405922,100.0,112.32,20.69,553,272,626
53,KPP Badan dan Orang Asing,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,1728,10144,63,29,54,13356465941,100.0,117.33,26.72,486,262,1910
54,KPP Perusahaan Masuk Bursa,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,1241,0,0,35,36,10333214852,99.85000000000001,113.59,15.05,518,546,325
55,KPP Penanaman Modal Asing Dua,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,609,0,0,49,32,15606469332,100.0,117.96,37.3,560,563,818
56,KPP Penanaman Modal Asing Tiga,KANTOR WILAYAH DJP JAKARTA KHUSUS,1,443,0,0,32,32,11596557354,100.0,115.26,31.39,527,206,269
57,KPP Penanaman Modal Asing Empat,KANTOR WILAYAH DJP JAKARTA KHUSUS,2,589,0,0,49,32,13146788478,100.0,110.77,23.81,409,207,740
